random seed = 1234
reference_energy=-2.903724377034114 hartree
stage=2 learning_rate=1e-06 epoch=5000 rel_error=1.550789307529e-04 best_rel_error=1.55e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=5100 rel_error=1.537210624570e-04 best_rel_error=1.54e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=5200 rel_error=1.523587042975e-04 best_rel_error=1.52e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=5300 rel_error=1.509943223259e-04 best_rel_error=1.51e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=5400 rel_error=1.496283590902e-04 best_rel_error=1.50e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=5500 rel_error=1.482585354827e-04 best_rel_error=1.48e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=5600 rel_error=1.468861682172e-04 best_rel_error=1.47e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=5700 rel_error=1.455123253761e-04 best_rel_error=1.46e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=5800 rel_error=1.441356885524e-04 best_rel_error=1.44e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=5900 rel_error=1.427577304493e-04 best_rel_error=1.43e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=6000 rel_error=1.413781050355e-04 best_rel_error=1.41e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=6100 rel_error=1.399967413581e-04 best_rel_error=1.40e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=6200 rel_error=1.386154693763e-04 best_rel_error=1.39e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=6300 rel_error=1.372321676989e-04 best_rel_error=1.37e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=6400 rel_error=1.358484870142e-04 best_rel_error=1.36e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=6500 rel_error=1.344643918488e-04 best_rel_error=1.34e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=6600 rel_error=1.330794235090e-04 best_rel_error=1.33e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=6700 rel_error=1.316951360166e-04 best_rel_error=1.32e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=6800 rel_error=1.303105702536e-04 best_rel_error=1.30e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=6900 rel_error=1.289259071419e-04 best_rel_error=1.29e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=7000 rel_error=1.275424457444e-04 best_rel_error=1.28e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=7100 rel_error=1.261585432551e-04 best_rel_error=1.26e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=7200 rel_error=1.247760181563e-04 best_rel_error=1.25e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=7300 rel_error=1.233934915383e-04 best_rel_error=1.23e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=7400 rel_error=1.220126917085e-04 best_rel_error=1.22e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=7500 rel_error=1.206324150685e-04 best_rel_error=1.21e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=7600 rel_error=1.192535519702e-04 best_rel_error=1.19e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=7700 rel_error=1.178757423513e-04 best_rel_error=1.18e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=7800 rel_error=1.164999192954e-04 best_rel_error=1.16e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=7900 rel_error=1.151250288101e-04 best_rel_error=1.15e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=8000 rel_error=1.137528334200e-04 best_rel_error=1.14e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=8100 rel_error=1.123816287038e-04 best_rel_error=1.12e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=8200 rel_error=1.110124594259e-04 best_rel_error=1.11e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=8300 rel_error=1.096451003254e-04 best_rel_error=1.10e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=8400 rel_error=1.082797767370e-04 best_rel_error=1.08e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=8500 rel_error=1.069167983582e-04 best_rel_error=1.07e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=8600 rel_error=1.055557530148e-04 best_rel_error=1.06e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=8700 rel_error=1.041970384893e-04 best_rel_error=1.04e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=8800 rel_error=1.028407226207e-04 best_rel_error=1.03e-04 num_params=34260
