random seed = 1234
reference_energy=-7.478060326 hartree
stage=1 learning_rate=1e-02 epoch=20100 rel_error=3.705467517809e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=20200 rel_error=2.955352591074e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=20300 rel_error=2.867453140254e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=20400 rel_error=2.830759622379e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=20500 rel_error=2.796235467478e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=20600 rel_error=2.884209026202e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=20700 rel_error=2.768776696588e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=20800 rel_error=2.728666300741e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=20900 rel_error=2.751033486205e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=21000 rel_error=2.777792637852e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=21100 rel_error=2.704419993699e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=21200 rel_error=2.962707940635e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=21300 rel_error=1.910821930163e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=21400 rel_error=1.825794088422e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=21500 rel_error=1.849383505679e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=21600 rel_error=1.787824637204e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=21700 rel_error=1.645811902774e-03 best_rel_error=1.53e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=21800 rel_error=1.681077600338e-03 best_rel_error=1.53e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=21900 rel_error=1.603361742377e-03 best_rel_error=1.52e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=22000 rel_error=1.561485835316e-03 best_rel_error=1.50e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=22100 rel_error=1.577240114108e-03 best_rel_error=1.47e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=22200 rel_error=1.755422847656e-03 best_rel_error=1.47e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=22300 rel_error=1.490806177433e-03 best_rel_error=1.47e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=22400 rel_error=1.467791941502e-03 best_rel_error=1.46e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=22500 rel_error=1.695379664382e-03 best_rel_error=1.46e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=22600 rel_error=1.593815261301e-03 best_rel_error=1.45e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=22700 rel_error=1.510649351487e-03 best_rel_error=1.45e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=22800 rel_error=1.471222009771e-03 best_rel_error=1.45e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=22900 rel_error=1.456644074525e-03 best_rel_error=1.45e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=23000 rel_error=1.508053442529e-03 best_rel_error=1.41e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=23100 rel_error=1.613816175068e-03 best_rel_error=1.38e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=23200 rel_error=1.434735767866e-03 best_rel_error=1.38e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=23300 rel_error=1.401206456406e-03 best_rel_error=1.38e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=23400 rel_error=1.515821418154e-03 best_rel_error=1.38e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=23500 rel_error=1.344194519875e-03 best_rel_error=1.34e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=23600 rel_error=1.297918751611e-03 best_rel_error=1.29e-03 num_params=51390
