macro,energy_hartree,relative_error,dE,grad_orb,grad_ci,ddm,max_rot,jk_this_macro,micro_this_macro,total_jk,total_micro,macro_step_wall_s,cumulative_macro_wall_s,cumulative_casscf_wall_s,cumulative_peak_rss_mb
18,-2.9035243807388436,6.887578478618815e-05,-8.072996560137824e-07,6.048171369113841e-06,0.0016522145737133869,2.785481295886578e-07,0.3047729989000492,6,1,334,64,550.5299033469637,29822.685571215,29997.499615923967,30195.546875
18,-2.9035243807388436,6.887578478618815e-05,-8.072996560137824e-07,6.048171369113841e-06,0.0015265852352266988,7.346539302735704e-07,0.3047729989000492,11,2,334,64,381.60111003700877,30204.286681252008,30379.100725960976,30195.546875
18,-2.9035243807388436,6.887578478618815e-05,-8.072996560137824e-07,6.048171369113841e-06,0.0013271099157597123,1.3104329587820798e-06,0.3047729989000492,16,3,334,64,380.90595317300176,30585.19263442501,30760.006679133978,30195.546875
18,-2.903525534828801,6.847833316629409e-05,-1.1540899573780905e-06,6.048171369113841e-06,0.0013271099157597123,8.691340351645759e-06,0.30328677335934645,21,4,355,68,579.1576806799858,31164.350315104995,31339.164359813964,30195.546875
19,-2.903525534828801,6.847833316629409e-05,-1.1540899573780905e-06,6.140146994465856e-06,0.0010651105897576028,2.3032418412552822e-07,0.30328677335934645,6,1,355,68,551.6100812990335,31715.96039640403,31890.774441112997,30195.546875
19,-2.903525534828801,6.847833316629409e-05,-1.1540899573780905e-06,6.140146994465856e-06,0.0010125032981911249,6.117938749037758e-07,0.30328677335934645,11,2,355,68,379.5780754889711,32095.538471893,32270.352516601968,30195.546875
19,-2.903525534828801,6.847833316629409e-05,-1.1540899573780905e-06,6.140146994465856e-06,0.000808729687254282,1.117050771933084e-06,0.30328677335934645,16,3,355,68,380.5750329309958,32476.113504823996,32650.927549532964,30195.546875
19,-2.903526231980187,6.823824447486485e-05,-6.971513859532763e-07,6.140146994465856e-06,0.000808729687254282,6.613939642261211e-06,0.2664399532967153,21,4,376,72,538.4449722990394,33014.558477123035,33189.372521832,30195.546875
20,-2.903526231980187,6.823824447486485e-05,-6.971513859532763e-07,4.460967013204908e-06,0.0005759735729737661,1.2931975417719244e-07,0.2664399532967153,6,1,376,72,550.0975135189947,33564.65599064203,33739.470035351,30195.546875
20,-2.903526231980187,6.823824447486485e-05,-6.971513859532763e-07,4.460967013204908e-06,0.00044607793718824435,3.007315670590265e-07,0.2664399532967153,11,2,376,72,380.5713909440092,33945.22738158604,34120.04142629501,30195.546875
20,-2.903526231980187,6.823824447486485e-05,-6.971513859532763e-07,4.460967013204908e-06,0.00035019393422061623,4.7331983086572434e-07,0.2664399532967153,16,3,376,72,382.68935923901154,34327.91674082505,34502.73078553402,30195.546875
20,-2.9035264475819815,6.816399438544694e-05,-2.156017946397526e-07,4.460967013204908e-06,0.00035019393422061623,2.1992337852217288e-06,0.2994758359201259,21,4,397,76,479.89331295294687,34807.810053778,34982.624098486966,30195.546875
21,-2.9035264475819815,6.816399438544694e-05,-2.156017946397526e-07,4.0259332486938904e-06,0.00015168456512161662,6.747480728788076e-08,0.2994758359201259,6,1,397,76,549.2609445429989,35357.070998320996,35531.885043029964,30195.546875
21,-2.9035264475819815,6.816399438544694e-05,-2.156017946397526e-07,4.0259332486938904e-06,0.00011513408939335237,1.4443598095004387e-07,0.2994758359201259,10,2,397,76,380.92812329204753,35737.999121613044,35912.81316632201,30195.546875
21,-2.903526482597883,6.815193542366442e-05,-3.501590128962562e-08,4.0259332486938904e-06,0.00011513408939335237,5.037055604060879e-07,0.11892784113188236,10,2,407,78,222.3149279219797,35960.31404953502,36135.12809424399,30195.546875
22,-2.903526482597883,6.815193542366442e-05,-3.501590128962562e-08,5.695141670708253e-06,0.00019189636545351846,1.195385208715922e-07,0.11892784113188236,6,1,407,78,549.2795806080103,36509.593630143034,36684.407674852,30195.546875
