macro,energy_hartree,relative_error,dE,grad_orb,grad_ci,ddm,max_rot,jk_this_macro,micro_this_macro,total_jk,total_micro,macro_step_wall_s,cumulative_macro_wall_s,cumulative_casscf_wall_s,cumulative_peak_rss_mb
34,-2.1734423549157897,0.0008215332777687629,0.0,5.00169845390815e-07,9.809048307360525e-07,1.1508497331311272e-19,0.0,1,1,296,71,204.9280172370054,20990.611420008005,21145.199966382002,13771.37109375
34,-2.1734423549157897,0.0008215332777687629,0.0,5.00169845390815e-07,9.809048307360525e-07,1.1102417093443206e-16,0.0,1,1,297,72,111.0921269919927,21101.703546999997,21256.292093373995,13771.37109375
35,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453920538e-07,9.809048307360525e-07,1.6791460639510947e-19,0.0,1,1,297,72,203.4483396680007,21305.151886667998,21459.740433041996,13771.37109375
35,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453920538e-07,9.809048307360525e-07,1.9418355555746766e-19,0.0,1,1,298,73,109.88023812300526,21415.032124791003,21569.620671165,13771.37109375
36,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453905986e-07,9.809048307360525e-07,6.197263139957254e-19,0.0,1,1,298,73,204.50548519000586,21619.53760998101,21774.126156355007,13771.37109375
36,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453905986e-07,9.809048307360525e-07,1.842874620949349e-18,0.0,1,1,299,74,111.12722943299741,21730.664839414007,21885.253385788004,13771.37109375
37,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453928914e-07,9.809048307360525e-07,1.1102424277153076e-16,0.0,1,1,299,74,205.86895201299922,21936.533791427006,22091.122337801004,13771.37109375
37,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453928914e-07,9.809048307360525e-07,1.1103801517763443e-16,0.0,1,1,300,75,111.49649070699525,22048.030282134,22202.618828508,13771.37109375
38,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453910154e-07,9.809048307360525e-07,1.1102932649252505e-16,0.0,1,1,300,75,205.7420742109971,22253.772356344998,22408.360902718996,13771.37109375
38,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453910154e-07,9.809048307360525e-07,1.1102453561865351e-16,0.0,1,1,301,76,111.35883784999896,22365.131194194997,22519.719740568995,13771.37109375
39,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453932236e-07,9.809048307360525e-07,1.110227578216576e-16,0.0,1,1,301,76,205.5548150040122,22570.68600919901,22725.274555573007,13771.37109375
39,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453932236e-07,9.809048307360525e-07,1.5701106971514865e-16,0.0,1,1,302,77,109.42628421299742,22680.112293412007,22834.700839786005,13771.37109375
40,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453911057e-07,9.809048307360525e-07,1.5701121189890423e-16,0.0,1,1,302,77,203.1297139639937,22883.242007376,23037.83055375,13771.37109375
40,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453911057e-07,9.809048307360525e-07,1.5700957795520256e-16,0.0,1,1,303,78,109.30506587000855,22992.54707324601,23147.135619620007,13771.37109375
41,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453902702e-07,9.809048307360525e-07,6.971801138434699e-19,0.0,1,1,303,78,203.167626259994,23195.714699506003,23350.30324588,13771.37109375
41,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453902702e-07,9.809048307360525e-07,1.1102425509812698e-16,0.0,1,1,304,79,109.70649897999829,23305.421198486,23460.00974486,13771.37109375
42,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453922371e-07,9.809048307360525e-07,1.1102284807460232e-16,0.0,1,1,304,79,203.3161600559979,23508.737358542,23663.325904915997,13771.37109375
