macro,energy_hartree,relative_error,dE,grad_orb,grad_ci,ddm,max_rot,jk_this_macro,micro_this_macro,total_jk,total_micro,macro_step_wall_s,cumulative_macro_wall_s,cumulative_casscf_wall_s,cumulative_peak_rss_mb
25,-14.664735789015902,0.0001789150183876714,-3.7722327116185284e-05,0.00011143528113716736,0.010041832451803526,3.297770887184874e-06,0.28385791883679556,6,1,454,87,630.0131747470004,138992.308138558,140150.036331713,2156.53125
25,-14.664735789015902,0.0001789150183876714,-3.7722327116185284e-05,0.00011143528113716736,0.008352840228301054,4.300771611120279e-06,0.28385791883679556,11,2,454,87,824.7912436249899,139817.099382183,140974.827575338,2156.53125
25,-14.664735789015902,0.0001789150183876714,-3.7722327116185284e-05,0.00011143528113716736,0.0073279231016531885,6.457492824362561e-06,0.28385791883679556,16,3,454,87,824.4216001059976,140641.520982289,141799.24917544398,2156.53125
25,-14.664784295932963,0.00017560788492528828,-4.850691706081989e-05,0.00011143528113716736,0.0073279231016531885,3.198352083035717e-05,0.2789461912172956,21,4,475,91,5837.932478944014,146479.453461233,147637.181654388,2156.53125
26,-14.664784295932963,0.00017560788492528828,-4.850691706081989e-05,8.103987790414198e-05,0.005718621386748447,1.7130025534848933e-06,0.2789461912172956,6,1,475,91,628.6206109729828,147108.07407220599,148265.80226536098,2156.53125
26,-14.664784295932963,0.00017560788492528828,-4.850691706081989e-05,8.103987790414198e-05,0.005011889934305045,3.818141992589442e-06,0.2789461912172956,11,2,475,91,824.6980740400031,147932.772146246,149090.50033940098,2156.53125
26,-14.664784295932963,0.00017560788492528828,-4.850691706081989e-05,8.103987790414198e-05,0.0038575545019703212,5.4401586773200005e-06,0.2789461912172956,15,3,475,91,835.1554671470076,148767.927613393,149925.655806548,2157.2890625
26,-14.664800878407519,0.00017447731510521436,-1.6582474556159355e-05,8.103987790414198e-05,0.0038575545019703212,4.846588673281509e-05,0.1971446189631914,15,3,490,94,4684.092288468004,153452.019901861,154609.748095016,2157.2890625
27,-14.664800878407519,0.00017447731510521436,-1.6582474556159355e-05,9.553234263960424e-05,0.006598604273802,4.974408982764934e-06,0.1971446189631914,6,1,490,94,705.89648932399,154157.916391185,155315.64458433999,2157.2890625
27,-14.664800878407519,0.00017447731510521436,-1.6582474556159355e-05,9.553234263960424e-05,0.007449395982790857,6.188309180603547e-06,0.1971446189631914,11,2,490,94,887.9008105070097,155045.817201692,156203.545394847,2157.2890625
